Change Component Footprint: Designator=J3 Old Footprint=FP-7-534206-0-MFG New Footprint=FP-2199230-4-MFG
Change Component Footprint: Designator=J1 Old Footprint=FP-2199230-4-MFG New Footprint=FP-7-534206-0-MFG
Change Component Comment : Designator=J3 Old Comment=7-534206-0 New Comment=2199230-4
Change Component Comment : Designator=J1 Old Comment=2199230-4 New Comment=7-534206-0
Change Managed Component Library Link : Designator=J1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=00CAE528-38EB-4C38-B698-0305D58CB698 New ItemGUID=0BEE72F4-4FF7-4DBF-8C76-75B99FF5E3F7 Old RevisionGUID=7A9997D5-7D6A-4F45-9DC0-EA790E11D6C2 New RevisionGUID=A249DEF5-29B5-417F-B9D8-31A47A1E8543
Change Managed Component Library Link : Designator=J3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=0BEE72F4-4FF7-4DBF-8C76-75B99FF5E3F7 New ItemGUID=00CAE528-38EB-4C38-B698-0305D58CB698 Old RevisionGUID=A249DEF5-29B5-417F-B9D8-31A47A1E8543 New RevisionGUID=7A9997D5-7D6A-4F45-9DC0-EA790E11D6C2
Change component parameters: Designator = "J1" ("J1"); Footprint = "FP-2199230-4-MFG"; UniqueID = "\XBOCBLLQ" ("\XBOCBLLQ")
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-65°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "333V"; VariantName = "[No Variations]"
Change component parameters: Designator = "J3" ("J3"); Footprint = "FP-7-534206-0-MFG"; UniqueID = "\NIJPHDAP" ("\NIJPHDAP")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F2199230%7FB3%7Fpdf%7FEnglish%7FENG_CD_2199230_B3.pdf%7F2199230-4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Gender"; Value = "Female"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Orientation"; Value = "Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Gold,Nickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "0.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Card Edge Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CONN FEMALE 67POS 0.020 GOLD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "4.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Is Female"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "2199230-4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "PCI Express / PCI Connectors .5PITCH 4.2H KEY E EMBOSS NGFF MINICARD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Contacts"; Value = "67"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Rows"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/2199230-4-te+connectivity-46436156"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-40°C to +80°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+80°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
